url,alt,caption,credit
"https://snworksceo.imgix.net/ids/8d95a27f-3790-40ca-9513-137e1f17c2a8.sized-1000x1000.jpg?w=1000","A green fish swims near a fake plant in a tank that has a circular iron-lined door. ","Parker Waltz, Andrew Wilson and Stephanie Saylor pose for a photo during Bloomington PRIDE's Pridefest event.","Ashlyn Johnson"
"https://snworksceo.imgix.net/ids/e299ab0e-0385-4927-97c3-f1889e4c42f4.sized-1000x1000.jpg?w=1000","A green fish swims near a fake plant in a tank that has a circular iron-lined door. ","The crowd at Pridefest watches drag performer Arachna perform Aug. 28, 2021, during one of the event's two drag shows. ","Alex Paul"
"https://snworksceo.imgix.net/ids/f8a5845a-cb7b-4fc0-b0d8-e6891e6b855a.sized-1000x1000.jpeg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","A Pridefest banner hangs over Kirkwood Avenue. Pridefest is an event put on annually by Bloomington PRIDE, a local nonprofit organization.","Ethan Moore"
"https://snworksceo.imgix.net/ids/6fd28fd5-669a-421e-8707-4b5080fdd552.sized-1000x1000.jpg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Attendees of Pridefest talk to a representative of the Indiana Graduate Workers Coalition. Vendors and different organizations set up booths along Kirkwood Avenue.","Ashlyn Johnson"
"https://snworksceo.imgix.net/ids/3adaa8ae-9921-497b-8919-9f5e1603ad2b.sized-1000x1000.jpeg?w=1000","A row of wooden booths lead to the back wall of the restaurant, which is decorated with artwork depicting Poseiden.","Freshman Cassidy Phillips and IUPUI student Ava Fisher roller skate in circles while holding hands. Phillips said they usually do not attend pride events but made an exception because they feel Pridefest is a family-oriented event. ","Ethan Moore"
"https://snworksceo.imgix.net/ids/fd910fbd-bf59-42f9-b6e8-21fc8cdccb31.sized-1000x1000.jpeg?w=1000","A row of wooden booths lead to the back wall of the restaurant, which is decorated with artwork depicting Poseiden.","Rainbow colored banners hang across Kirkwood Avenue during Pridefest. ","Ethan Moore"
"https://snworksceo.imgix.net/ids/ee1538d1-31b0-49bf-bb06-e297cea8a3de.sized-1000x1000.jpeg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Wrestler Dan Hendrix amps up the crowd before attempting to take down his opponent. The entertainment schedule included MPG wrestling, drag shows and karaoke. Ethan Moore","Ethan Moore"
"https://snworksceo.imgix.net/ids/4bcf127f-88d4-4536-aecc-29de491cbeb6.sized-1000x1000.jpg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Drag performer Arachna performs at Pridefest. The festival returned to Kirkwood Avenue after taking place virtually in 2020. ","Alex Paul"
"https://snworksceo.imgix.net/ids/0b0a1fe2-86b5-44b1-ab23-d3633fda1236.sized-1000x1000.jpg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Drag performer Peter Von Teaser performs at Pridefest. The event was hosted by Bloomington PR DE and featured two drag shows with local performers. ","Alex Paul"
"https://snworksceo.imgix.net/ids/387ec1b8-9c6e-4aea-90a0-4d022c547abd.sized-1000x1000.jpg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Drag performer Pat Yo Weave accepts a tip while hosting one of two drag shows at Pridefest. ","Alex Paul"
"https://snworksceo.imgix.net/ids/ac45b5dd-f860-4475-bd1f-cad78c546bcc.sized-1000x1000.jpg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Drag performer Arachna performs at Pridefest on Aug. 28, 2021, on Kirkwood Avenue in Bloomington. The event, hosted by Bloomington PRIDE, included two drag shows with local performers.","Alex Paul"
"https://snworksceo.imgix.net/ids/4a313640-7414-4514-a5e0-1c48a8e3dde2.sized-1000x1000.jpg?w=1000","A tray of food sits on a wooden counter. The tray contains two plates and a small bowl","Drag performer Pat Yo Weave hosts a drag show at Pridefest on Aug. 28, 2021, on Kirkwood Avenue in Bloomington. The festival returned to Kirkwood after taking place virtually in 2020.","Alex Paul"
